Título,Empresa,Ubicación,Publicado en,Descripción,Enlace
Analista Desarrollador(a) Web Laravel/PHP,Perceptual Consultores,"Santiago, Chile",Trabajando.com,"Estamos en búsqueda, de Profesional Informático, con experiencia en Desarrollo Frontend en PHP y Laravel, para nuestro cliente empresa desarrolladora de Software. Profesional con fuerte experiencia en el área de desarrollo de Sistemas de Pago.

¿Qué funciones realizaras?
• Planificación de desarrollo de acuerdo a proyectos asignados
• Estimación de tiempo, recursos por proyectos.
• Asignación de tareas
• Apoyo técnico a desarrolladores
• Asistir a reuniones con clientes
• Trabajo en conjunto al Product Owner
• Conocimiento metodología SCRUM

Condiciones:
• Contrato: plazo fijo, luego indefinido
• Ubicación: Santiago Centro (Metro Moneda)
• Modalidad: Presencial
• Horario: lunes a jueves 9:00 a 19:00 hrs. / viernes 9:00 a 18:00 hrs.",No disponible
Desarrolladores Laravel,Ideas Digitales,"Santiago, Chile",LinkedIn,"Company Description: Ideas Digitales

Job Description: Buscamos desarrolladores Laravel para proyecto:

Excluyente

========================
• Diseño de API OpenAPI / Swagger
• Docker
• GIT

Actividades

========================

Colaborar en el diseño e implementación de la lógica del sistema utilizando Laravel.

Crear y documentar APIs RESTful seguras y eficientes.

Mantener el código según los estándares de calidad y mejores prácticas.

Usar librerias de desarrollo estipuladas por el arquitecto de software

Seguridad Informática

========================

Implementar medidas de seguridad en el backend para proteger datos sensibles (cifrado, sanitización de entradas, etc.).

Participar de análisis y pruebas de vulnerabilidades en el código.

Automatización y Calidad

========================

Conocer sobre procesos CI/CD con herramientas que garanticen la calidad del código y la seguridad.

Colaboración

========================

Trabajar con el equipo de frontend, DBA y DevOps para garantizar la integración fluida del sistema.

Participar en revisiones de código y optimización de procesos.

Requisitos

Experiencia mínima de 3 años como desarrollador backend con Laravel.

Conocimiento avanzado de PHP, MySQL o bases de datos relacionales en entornos de alto rendimiento.

Familiaridad con herramientas de control de versiones como Git.

Deseable

========================

Conocimientos en integración de APIs con servicios de terceros.

Familiaridad con plataformas cloud como AWS o Azure.

Experiencia en pruebas de estrés y carga del backend.

Modalidad De Trabajo

========================

Online, si aseguras tener buena conectividad",No disponible
Desarrolladores Laravel,Ideas Digitales,Anywhere,Jobgether,"This a Full Remote job, the offer is available from: Chile

This offer from ""Ideas Digitales"" has been enriched by Jobgether.com and got a 72% flex score.",No disponible
Analista Programador PHP Laravel,BC Tecnología,"Las Condes, Chile",Get On Board,"En BC Tecnología, somos una consultora de TI dedicada a ofrecer soluciones personalizadas en tecnología. Desde hace seis años, trabajamos en colaboración con diversos sectores, incluyendo servicios financieros, seguros, retail y gobierno. Nos enfocamos en la creación de equipos ágiles para el desarrollo de software, consultoría, y administración de IT. Este rol de Analista Programador PHP Laravel es crucial para seguir brindando a nuestros clientes el soporte y la innovación que requieren en un entorno tecnológico en constante evolución.

Funciones del Cargo

Estamos buscando un Analista Programador PHP Laravel que tenga al menos 3 años de experiencia en el desarrollo y mantenimiento de aplicaciones. Las responsabilidades incluirán:
• Desarrollo y implementación de aplicaciones en PHP y Laravel.
• Colaboración en el diseño y la creación de endpoints API.
• Mantenimiento de bases de datos en MySQL y optimización de consultas.
• Desarrollo frontend utilizando HTML5, CSS3 y JavaScript.
• Participación en reuniones con el cliente para la recopilación de requisitos.
• Trabajo en el análisis e implementación de soluciones de programación basadas en las necesidades del cliente.

Descripción del Cargo

Para este puesto, buscamos candidatos que tengan sólida experiencia en programación PHP, pérdidas en el desarrollo con Laravel, y un buen manejo de JavaScript y MySQL. Además del dominio técnico, es clave contar con habilidades interpersonales ya que interactuarás con clientes y otros miembros del equipo. La capacidad para adaptarse a distintos entornos de trabajo, así como experiencia previa en equipos ágiles, será invaluable. Estamos comprometidos con la inclusión y adaptabilidad para todas las personas interesadas en este rol.

Habilidades Deseables

Sería ideal contar con conocimientos en Python, así como experiencia en el desarrollo de APIs. La motivación por aprender nuevas tecnologías y el compromiso con la mejora continua será muy valorada. También se aprecian habilidades en gestión de proyectos.

Beneficios

Aparte de un ambiente de trabajo colaborativo, ofrecemos un contrato por proyecto de 6 meses con posibilidad de extensión. Trabajarás en un sistema híbrido, lo que te permite disfrutar de la flexibilidad de trabajar de manera remota y en oficina (ubicada en Santiago). Los beneficios incluyen un seguro complementario, Amipass de $4.500 por día laborado, además de convenios y participación en actividades y bonos adicionales. La disponibilidad será de lunes a viernes, y esperamos fomentar un ambiente inclusivo y diverso.

Remote work policy

Hybrid

This job takes place some days from home and others at the office in Santiago (Chile).",No disponible
Analista Desarrollador Web Laravel/PHP,Perceptual Consultores,"Santiago, Chile",Trabajando.com,"Estamos en búsqueda, de Profesional Informático, con experiencia en Desarrollo Frontend en PHP y Laravel, para nuestro cliente empresa desarrolladora de Software. Profesional con fuerte experiencia en el área de desarrollo de Sistemas de Pago.

¿Qué funciones realizaras?
• Planificación de desarrollo de acuerdo a proyectos asignados
• Estimación de tiempo, recursos por proyectos.
• Asignación de tareas
• Apoyo técnico a desarrolladores
• Asistir a reuniones con clientes
• Trabajo en conjunto al Product Owner
• Conocimiento metodología SCRUM

Condiciones:
• Contrato: plazo fijo, luego indefinido
• Ubicación: Santiago Centro (Metro Moneda)
• Modalidad: Presencial
• Horario: lunes a jueves 9:00 a 19:00 hrs. / viernes 9:00 a 18:00 hrs.",No disponible
"Desarrollador PHP, Laravel, Bitbucket - Remoto",Abenis,"Providencia, Chile",Computrabajo,"DESARROLLADOR PHP, Laravel, Bitbucket
Profesional Informático (egresado o titulado)

REQUISITOS:
-Experiencia desde 4 años en PHP
-Framework Laravel
-Bitbucket
-Experiencia desde 1 año en React
-Servicios REST (PUT, GET, POST)

DURACIÓN: 6 Meses con extensión hasta Diciembre 2025

MODALIDAD DE TRABAJO:
-Remoto (se puede solicitar visita a la oficina una o dos veces al mes (Se avisa con tiempo y se valida disponibilidad).

HORARIO:
-Lunes a Jueves de 08:30 a 18:30 hrs.
-Viernes 08:30 a 14:00 hrs.

BENEFICIOS:
-Seguro Complementario de Vida, Salud y Dental (Contrato Indefinido)
-Aguinaldos fiestas patrias y año nuevo.
-Regalo cumpleaños.
-Sistemas digitalizados de documentación personal (Talana)
-Caja de Compensación Los Andes.
-Abenis Academy (Plan de Capacitación)

Interesados, favor adjuntar CV detalladoGracias!.

-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T.
3 años de experiencia
Palabras clave: developer, programador, casa, remoto, remote, teletrabajo, home",No disponible
"Desarrollador PHP , Laravel y Bitbucket",Abenis Consultores,Anywhere,JobLeads,"Duración Plazo fijo, luego indefinido según desempeño.

Abenis se encuentra en búsqueda de un Desarrollador con experiencia en PHP, Laravel y Bitbucket.

REQUISITOS:
• Profesional Informático (egresado o titulado)
• Experiencia desde 4 años en PHP
• Dominio de Framework Laravel
• Experiencia en Bitbucket
• Experiencia en React
• Servicios REST (PUT, GET, POST)

DURACIÓN: 6 Meses con extensión hasta Diciembre 2025

MODALIDAD DE TRABAJO: Remoto

HORARIO: Lunes a Jueves de 08:30 a 18:30 horas - viernes 08:30 a 14:00 horas.

BENEFICIOS:
• Seguro Complementario de Vida, Salud y Dental (Contrato Indefinido)
• Aguinaldos fiestas patrias y año nuevo.
• Regalo cumpleaños.
• Sistemas digitalizados de documentación personal (Talana)
• Caja de Compensación Los Andes.
• Abenis Academy (Plan de Capacitación)

Interesados, favor adjuntar CV detallado. Gracias!",No disponible
Desarrollador junior Laravel deseable Vue.js ( 100% Remoto),Consistor Chile,Anywhere,Chiletrabajos,"Buscamos a un desarrollador junior con experiencia de al menos de 1 años comprobable en desarrollo con Laravel y deseable vue.js con contrato Indefinido y 100% remoto, para integrarse a solida empresa .
Conocimientos :

- PHP
- Laravel
- VUE.js (deseable)
- Express (deseable)
- Postgresql
- LINUX (deseable)
- C# (deseable)
- Docker (deseable)
- Git (deseable)

Renta Ofrecida para el cargo entre entre 850.000 a 1.000.000 según experiencia con contrato indefinido.
Interesados enviar curriculum actualizado con pretensiones de renta y disponibilidad a consitor.reclutamiento@gmail.com",No disponible
Desarrollador P H P  React Laravel,Abenis,Chile,Bolsa De Trabajo,"DESARROLLADOR PHP REACT LARAVEL
FUNCIONES La principal función del desarrollador será participar del proceso de programaciónimplementación teniendo como entrada las especificaciones de software y ajustándose a tiempos y estándares de calidad del proyecto
Desarrollador
Requisitos excluyentes
Experiencia demostrable desde 4 años en PHP framework LARAVEL, BITBUCKET, SQL
Experiencia desde 1 año en REACT
Conocimiento y uso de herramientas y frameworks para el desarrollo de software.
Servicios REST PUT, GET, POST
Debe vivir en Chile importante

Deseables
Conocimiento básicos en GCP Google Cloud Platforms
HTML, CSS3Bootstrap 4, JavascriptJquery 3 y tecnología AJAX
Conocimiento en python

CONTRATO 3 meses plazo fijo luego indefinido
MODALIDAD Remoto, con visita a la oficina 1 a 2 veces al mes
HORARIO Lunes a Jueves 0830 a 1830 y Viernes 0830 a 1400 horas
Interesados enviar currículo detallando experiencia técnica
Bolsa de trabajo Chile ofrecemos puesto de Desarrollador P H P React Laravel para el sector de Informatica Telecomunicaciones en la empresa Abenis de Santiago Las condes. Salario acorde a tu experiencia y al salario medio del sector. Actualiza ahora tu currículum vitae y postúlate a este empleo. Tipo de empleo Jornada de 42 horas semanales.",No disponible
Desarrollador junior Laravel deseable Vue.js ( 100% Remoto),Consistor Chile,"Santiago, Chile",Chiletrabajos,"Buscamos a Profesional del área de Informatica con experiencia minima de 2 años comprobables en desarrollo WEB y Móvil con conocimientos en PHP y Linux ademas capacidad de analisis para el cargo de programador con contrato Indefinido y trabajo 100% remoto.
para integrarse a solida empresa .
Conocimientos :

- VUE.js Laravel (PHP)
- Express
- Postgresql
- Linux

Deseables: C#, Docker, Git, Sql Server y Linux

Renta Ofrecida para el cargo entre 750.000 a 950.000 liquido segun experiencia con contrato indefinido.
Interesados enviar curriculum actualizado con pretensiones de renta y disponibilidad",No disponible
